budget,strategy,predicted_excess_analytic,observed_excess_empirical,ratio
96,uniform,0.25225257020622055,0.2522366691540605,0.9999369637655345
96,shap,0.22195987710633713,0.21963122765579157,0.9895086919271002
96,variance,0.22190592127788497,0.220249978651733,0.9925376365956532
96,random,0.24414611794668378,0.2408268633779388,0.9864046391699341
96,magnitude,0.22195987710633713,0.21963122765579157,0.9895086919271002
96,oracle,0.2190426521785397,0.21634462109732988,0.9876826222912483
150,uniform,0.16144164493198115,0.16043832357353527,0.9937852382582659
150,shap,0.14133018258471405,0.1424614888753255,1.0080047040902487
150,variance,0.1407905599058316,0.14367109097439046,1.020459688991119
150,random,0.21682941523173074,0.21646123174866416,0.9983019670893218
150,magnitude,0.14141257989182743,0.14256097533706014,1.008120886035112
150,oracle,0.1401646517865599,0.14264589609797185,1.0177023541940542
300,uniform,0.08072082246599058,0.07872000223799624,0.9752130842220132
300,shap,0.07043097567540312,0.06876374528846096,0.9763281656834352
300,variance,0.07014203631776059,0.0682502675023936,0.9730294568752351
300,random,0.1900895645921661,0.1877342715834821,0.9876095617677002
300,magnitude,0.07042587856465134,0.0690406276065566,0.9803303702228853
300,oracle,0.07013286840123717,0.0683788159624964,0.9749895807953318
600,uniform,0.04036041123299529,0.038975857334365704,0.9656952479835565
600,shap,0.03518277216690453,0.033668179522411856,0.9569507303941952
600,variance,0.03504507011515147,0.033797405123754065,0.9643982737857903
600,random,0.04818567695205081,0.04869081318362167,1.0104831199543698
600,magnitude,0.03516032811000594,0.03354166602447195,0.953963396460076
600,oracle,0.035048049768881,0.03360747169481504,0.9588970546559471
1200,uniform,0.020180205616497644,0.020619193413079828,1.0217533857149257
1200,shap,0.017587261930684602,0.017589367576391512,1.0001197256125034
1200,variance,0.017517700906869965,0.017434845926650677,0.9952702137877697
1200,random,0.036869727178676724,0.03639112773780118,0.9870191759609129
1200,magnitude,0.017575078308569764,0.017422854623571626,0.9913386624898329
1200,oracle,0.01752085219870033,0.01737266614864319,0.9915423035148865
2400,uniform,0.010090102808248822,0.010348694948792536,1.0256282959111487
2400,shap,0.008792463708199442,0.009127306516474865,1.038082933224184
2400,variance,0.008757903086572998,0.008964041891470709,1.0235374612918187
2400,random,0.00927462892402562,0.009470174205398973,1.0210838927330883
2400,magnitude,0.008786247846907949,0.009187290753571054,1.0456443880995503
2400,oracle,0.008760164759417124,0.008855345566155193,1.0108651845429906
