budget,nmse,uniform_equivalent_budget,marginal_savings_per_prediction,extra_calibration_cost,breakeven_n_predictions
96,0.8846181010981006,114.81603939812312,18.816039398123124,206784,10989.772907290278
150,0.808039213420758,180.77749088291563,30.77749088291563,206784,6718.676346510896
300,0.7326183899487612,379.0285066717809,79.02850667178092,206784,2616.574812159994
600,0.6981655275701216,769.2612197777457,169.26121977774574,206784,1221.6856304800642
1200,0.6818029683730182,1572.0575974965739,372.05759749657386,206784,555.7849144631543
2400,0.6733321643378383,,,206784,inf
