budget,wilcoxon_stat,p_value,effect_size_rank_biserial,median_diff_shap_minus_variance,n_seeds
96,185.0,0.338741784915328,-0.20430107526881722,-0.0008088354622621807,30
150,153.0,0.10483990423381329,-0.3419354838709677,-0.0018343917270999266,30
300,166.0,0.17719271034002304,0.2860215053763441,4.392916000828251e-05,30
600,205.0,0.583757072687149,-0.11827956989247312,-0.00027873401615347015,30
1200,211.0,0.6701805889606476,0.09247311827956989,0.00029154883839566104,30
2400,192.0,0.4161298982799053,0.17419354838709677,0.00027607271534507705,30
